"Incident ID","Region of Incident","Incident year","reported_month","Incident_date","Number of Dead","migration_route","location_of_death","Coordinates","cause_of_death","Region of Origin"
"2021.MMP0412","Southern Asia",2021,"April","05/04/21",1,"Afghanistan to Iran","Unspecified location in Kerman province, Iran","POINT (57.41401628 29.85315945)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0413","Southern Asia",2021,"April","06/04/21",1,"Afghanistan to Iran","Unspecified location in Tehran province, Iran","POINT (51.3896004 35.6892523)","Sickness / lack of access to adequate healthcare","Southern Asia"
"2021.MMP0414","Southern Asia",2021,"April","06/04/21",1,"Afghanistan to Iran","Unspecified location in Tehran province, Iran","POINT (51.3896004 35.6892523)","Sickness / lack of access to adequate healthcare","Southern Asia"
"2021.MMP0415","Southern Asia",2021,"April","19/04/21",1,"Afghanistan to Iran","Unspecified location in Qazvin province, Iran","POINT (49.87005574 36.07730236)","Accidental death","Southern Asia"
"2021.MMP0416","Southern Asia",2021,"April","21/04/21",1,"Afghanistan to Iran","Unspecified location in Tehran province, Iran","POINT (51.3896004 35.6892523)","Sickness / lack of access to adequate healthcare","Southern Asia"
"2021.MMP0417","Southern Asia",2021,"April","24/04/21",1,"Afghanistan to Iran","Unspecified location in Urmia county, West Azerbaijan province, Iran","POINT (44.95937698 37.56427965)","Harsh environmental conditions / lack of adequate shelter, food, water","Southern Asia"
"2021.MMP0418","Southern Asia",2021,"April","25/04/21",1,"Afghanistan to Iran","Unspecified location in Tehran province, Iran","POINT (51.3896004 35.6892523)","Accidental death","Southern Asia"
"2021.MMP0419","Southern Asia",2021,"April","26/04/21",1,"Afghanistan to Iran","Unspecified location in Qazvin province, Iran","POINT (49.87005574 36.07730236)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0420","Southern Asia",2021,"April","26/04/21",1,"Afghanistan to Iran","Unspecified location in Isfahan province, Iran","POINT (52.5058072 32.2537812)","Accidental death","Southern Asia"
"2021.MMP0528","Southern Asia",2021,"April","02/04/21",1,"Afghanistan to Iran","Unspecified location in Bandar Abbas district, Hormozgan province, Iran","POINT (56.2781423 27.1793466)","Violence","Southern Asia"
"2021.MMP0529","Southern Asia",2021,"April","03/04/21",1,"Afghanistan to Iran","Unspecified location in Saravan district, Sistan & Baluchestan province, Iran","POINT (62.35316592 27.35022729)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0530","Southern Asia",2021,"April","04/04/21",1,"Afghanistan to Iran","Unspecified location in Bandar Abbas district, Hormozgan province, Iran","POINT (56.2781423 27.1793466)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0531","Southern Asia",2021,"April","04/04/21",1,"Afghanistan to Iran","Unspecified location in Bam district, Kerman province, Iran","POINT (58.1782498 29.1403563)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0532","Southern Asia",2021,"April","04/04/21",1,"Afghanistan to Iran","Unspecified location in Bam district, Kerman province, Iran","POINT (58.1782498 29.1403563)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0533","Southern Asia",2021,"April","04/04/21",1,"Afghanistan to Iran","Unspecified location in Saravan district, Sistan & Baluchestan province, Iran","POINT (62.35316592 27.35022729)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0534","Southern Asia",2021,"April","04/04/21",1,"Afghanistan to Iran","Unspecified location between Mashhad and Chenaran cities, Iran","POINT (59.39773944 36.44746436)","Violence","Southern Asia"
"2021.MMP0535","Southern Asia",2021,"April","05/04/21",1,"Afghanistan to Iran","Unspecified location in Zahedan district, Sistan & Baluchestan province, Iran","POINT (60.86744515 29.47645121)","Violence","Southern Asia"
"2021.MMP0536","Southern Asia",2021,"April","07/04/21",1,"Afghanistan to Iran","Unspecified location at the border between Bushehr and Hormozgan provinces, Iran","POINT (52.8090266 27.35710118)","Violence","Southern Asia"
"2021.MMP0537","Southern Asia",2021,"April","08/04/21",1,"Afghanistan to Iran","Unspecified location in Zehak district, Sistan & Baluchestan province, Iran","POINT (61.68389773 30.89202146)","Sickness / lack of access to adequate healthcare","Southern Asia"
"2021.MMP0538","Southern Asia",2021,"April","08/04/21",1,"Afghanistan to Iran","Unspecified location in Saravan district, Sistan & Baluchestan province, Iran","POINT (62.35316592 27.35022729)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0539","Southern Asia",2021,"April","10/04/21",1,"Afghanistan to Iran","Unspecified location in Zahedan district, Sistan & Baluchestan province, Iran","POINT (60.86744515 29.47645121)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0540","Southern Asia",2021,"April","10/04/21",1,"Afghanistan to Iran","Unspecified location in Zahedan district, Sistan & Baluchestan province, Iran","POINT (60.86744515 29.47645121)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0541","Southern Asia",2021,"April","10/04/21",1,"Afghanistan to Iran","Unspecified location in Mirjaveh district, Sistan & Baluchestan province, Iran","POINT (61.1628427 28.868884)","Sickness / lack of access to adequate healthcare","Southern Asia"
"2021.MMP0542","Southern Asia",2021,"April","13/04/21",1,"Afghanistan to Iran","Unspecified location in Zehak district, Sistan & Baluchestan province, Iran","POINT (61.68389773 30.89202146)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0543","Southern Asia",2021,"April","13/04/21",1,"Afghanistan to Iran","Unspecified location in Zehak district, Sistan & Baluchestan province, Iran","POINT (61.68389773 30.89202146)","Violence","Southern Asia"
"2021.MMP0544","Southern Asia",2021,"April","14/04/21",1,"Afghanistan to Iran","Unspecified location in Shiraz district, Fars province, Iran","POINT (52.51236196 29.63186286)","Sickness / lack of access to adequate healthcare","Southern Asia"
"2021.MMP0545","Southern Asia",2021,"April","18/04/21",1,"Afghanistan to Iran","Unspecified location in Kerman district, Kerman province, Iran","POINT (57.0662465 30.27629382)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0546","Southern Asia",2021,"April","19/04/21",1,"Afghanistan to Iran","Unspecified location in Bushehr city, Bushehr province, Iran","POINT (50.90279461 28.89461767)","Sickness / lack of access to adequate healthcare","Southern Asia"
"2021.MMP0547","Southern Asia",2021,"April","21/04/21",1,"Afghanistan to Iran","Unspecified location in Sharistan Jam, Bushehr province, Iran","POINT (52.32536 27.82817)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0548","Southern Asia",2021,"April","22/04/21",1,"Afghanistan to Iran","Unspecified location in Kahnuj district, Kerman province, Iran","POINT (57.72427834 27.99566687)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0549","Southern Asia",2021,"April","23/04/21",1,"Afghanistan to Iran","Unspecified location in Jiroft district, Kerman province, Iran","POINT (57.57054013 28.95046741)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0550","Southern Asia",2021,"April","25/04/21",1,"Afghanistan to Iran","Unspecified location in Borazjan, Bushehr province, Iran","POINT (51.2120597 29.2661428)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0551","Southern Asia",2021,"April","25/04/21",1,"Afghanistan to Iran","Unspecified location in Kahnuj district, Kerman province, Iran","POINT (57.72427834 27.99566687)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0552","Southern Asia",2021,"April","25/04/21",1,"Afghanistan to Iran","Unspecified location in Chenaran district, Razavi Khorasan province, Iran","POINT (59.0964723 36.8127762)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0553","Southern Asia",2021,"April","25/04/21",1,"Afghanistan to Iran","Unspecified location in Jiroft district, Kerman province, Iran","POINT (57.57054013 28.95046741)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0554","Southern Asia",2021,"April","25/04/21",1,"Afghanistan to Iran","Unspecified location in Shiraz district, Fars province, Iran","POINT (52.51236196 29.63186286)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0555","Southern Asia",2021,"April","28/04/21",1,"Afghanistan to Iran","Unspecified location between Larestan and Bandar-e-Abbas counties, Hormozgan Province,Iran","POINT (55.78450707 27.26241605)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0556","Southern Asia",2021,"April","28/04/21",1,"Afghanistan to Iran","Unspecified location between Larestan and Bandar-e-Abbas counties, Hormozgan Province,Iran","POINT (55.78450707 27.26241605)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0557","Southern Asia",2021,"April","29/04/21",1,"Afghanistan to Iran","Unspecified location in Shiraz district, Fars province, Iran","POINT (52.51236196 29.63186286)","Sickness / lack of access to adequate healthcare","Southern Asia"
"2021.MMP0558","Southern Asia",2021,"April","30/04/21",1,"Afghanistan to Iran","Unspecified location in Shiraz district, Fars province, Iran","POINT (52.51236196 29.63186286)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0561","Southern Asia",2021,"April","24/04/21",1,"Afghanistan to Iran","Unspecified location in Das Shah district, Isfahan province, Iran","POINT (69.85 37.04)","Mixed or unknown","Southern Asia"
"2021.MMP0564","Southern Asia",2021,"April","25/04/21",1,"Afghanistan to Iran","Unspecified location in Chenaran district, Razavi Khorasan province, Iran","POINT (69.85 37.04)","Vehicle accident / death linked to hazardous transport","Southern Asia"
"2021.MMP0179","Southern Asia",2021,"August","31/08/21",3,"Afghanistan to Iran","Bam, Kerman, Iran","POINT (58.33641288 29.08506501)","Vehicle accident / death linked to hazardous transport","Southern Asia"
